seed,cmi_threshold,do_threshold,threshold_source,threshold_fit_seed,n_train_transitions,viability_threshold,viability_threshold_source,viability_train_quantile
0,0.0030370584415381763,0.5640598507091256,TRAIN,0,500,0.7142500267999499,TRAIN_INTACT,0.95
1,0.002513598959056314,0.9087962547474852,TRAIN,1,500,0.6667924328148132,TRAIN_INTACT,0.95
2,0.001991824098509759,0.6705560418587266,TRAIN,2,500,0.677205221671674,TRAIN_INTACT,0.95
