seed,cmi_boundary_fpr,cmi_all_edge_rate,cmi_within_true_edge_recall,do_boundary_fpr,do_all_edge_rate,do_within_true_edge_recall,dibt_boundary_fpr,dibt_all_edge_rate,dibt_within_true_edge_recall
0,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.125,0.5892857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.30357142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
