seed,cmi_boundary_mcc,cmi_boundary_precision,cmi_boundary_recall,cmi_boundary_specificity,cmi_boundary_edge_rate,cmi_graph_mcc,cmi_graph_precision,cmi_graph_recall,cmi_graph_specificity,cmi_graph_edge_rate,do_boundary_mcc,do_boundary_precision,do_boundary_recall,do_boundary_specificity,do_boundary_edge_rate,do_graph_mcc,do_graph_precision,do_graph_recall,do_graph_specificity,do_graph_edge_rate,dibt_boundary_mcc,dibt_boundary_precision,dibt_boundary_recall,dibt_boundary_specificity,dibt_boundary_edge_rate,dibt_graph_mcc,dibt_graph_precision,dibt_graph_recall,dibt_graph_specificity,dibt_graph_edge_rate,delta_mcc_cmi,delta_mcc_do,viability_threshold,viability_intact_ood,viability_boundary_removed_ood
0,0.6831300510639732,0.6,1.0,0.7777777777777778,0.4166666666666667,0.6183469424008423,0.47058823529411764,1.0,0.8125,0.30357142857142855,0.7745966692414834,1.0,0.6666666666666666,1.0,0.16666666666666666,0.7669649888473705,1.0,0.625,1.0,0.08928571428571429,0.7745966692414834,1.0,0.6666666666666666,1.0,0.16666666666666666,0.7669649888473705,1.0,0.625,1.0,0.08928571428571429,0.09146661817751023,0.0,0.7142500267999499,0.788,0.91
1,0.7453559924999299,0.6666666666666666,1.0,0.8333333333333334,0.375,0.674948557710553,0.5333333333333333,1.0,0.8541666666666666,0.26785714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7453559924999299,0.0,0.6667924328148132,0.728,0.868
2,0.816496580927726,0.75,1.0,0.8888888888888888,0.3333333333333333,0.6183469424008423,0.47058823529411764,1.0,0.8125,0.30357142857142855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.816496580927726,0.0,0.677205221671674,0.736,0.93
