seed,baseline_mcc,dibt_mcc,delta_mcc,baseline_edge_rate_intact,dibt_edge_rate_intact,baseline_edge_rate_common_driver,dibt_edge_rate_common_driver,viability_intact,viability_boundary_removed,internal_variance_intact,internal_variance_boundary_removed
0,0.7429670248402683,0.848528137423857,0.10556111258358869,0.17857142857142858,0.14285714285714285,0.30357142857142855,0.0,1.0,1.0,0.05740448937189117,0.029158731130221698
1,0.6,0.916515138991168,0.316515138991168,0.25,0.125,0.375,0.017857142857142856,1.0,1.0,0.05046211821009644,0.0310695069239965
2,0.6,0.848528137423857,0.24852813742385704,0.25,0.14285714285714285,0.21428571428571427,0.07142857142857142,1.0,1.0,0.048549728271683364,0.028444455847260863
